ID da Análise,ID da Intimação,Processo,Órgão Julgador,Classificação Manual,Resultado IA,Acertou,Tempo Processamento (s),Custo Real ($),Tokens Input,Tokens Output,Modelo,Temperatura,Data da Análise,Informação Adicional
c2178ffb-ac3a-46c1-a9d9-8958516d5e75,01ca09b2-fd5e-403c-9663-622a8f0f18da,5003195-34.2024.8.21.0024,Juízo da 2ª Vara Judicial da Comarca de Rio Pardo,RENUNCIAR PRAZO,OCULTAR,Não,3.81,0.000371,2175,74,gpt-4o-mini,0.0,27/08/2025 12:58,Extinção ok (quase tanto faz em relação a ocultar)
9981873d-6ff9-4a7b-b6f2-5d5080fcf030,997d547d-1d92-4528-9059-ce5b2e164c6f,5000166-86.2020.8.21.0065,Juízo da 2ª Vara Judicial da Comarca de Santo Antônio da Patrulha,RENUNCIAR PRAZO,OCULTAR,Não,1.28,0.000352,2080,67,gpt-4o-mini,0.0,27/08/2025 12:58,Renunciar ao prazo(na prática não muda muito em relação ao triado pela IA)(IA costuma dar ocultar)
632c5f64-9bbc-4efa-9acf-a02229ce3049,f984ab19-8c2a-4f07-9505-31b93abf9613,5021775-33.2025.8.21.0039,Juízo da Vara de Família da Comarca de Viamão,RENUNCIAR PRAZO,OCULTAR,Não,1.36,0.000383,2272,71,gpt-4o-mini,0.0,27/08/2025 12:58,decisão recebendo a fase de cumprimento de sentença (nosso assistido está no polo ativo).
7c8c8218-4c61-4360-8ca5-8d7a4630d06f,73156824-908c-45d2-a780-41db1288454b,5007936-38.2025.8.21.0039,Juízo do Juizado Especial Cível da Comarca de Viamão,ANALISAR PROCESSO,OCULTAR,Não,1.31,0.00033,1918,71,gpt-4o-mini,0.0,27/08/2025 12:58,"verificar se houve o pagamento da RPV, pois entre a petição e a intimação já decorreu o prazo de 60 dias. No caso, como não houve o pagamento, elaborar peça - sequestro de valores"
40e1970f-263d-45da-bcb1-d95b2bcfdf0d,0485b576-186f-4a64-b5ed-748ffed2a026,5021814-30.2025.8.21.0039,Juízo da 3ª Vara Criminal da Comarca de Viamão,RENUNCIAR PRAZO,OCULTAR,Não,1.18,0.000415,2488,69,gpt-4o-mini,0.0,27/08/2025 12:59,"decisão inicial, intimado da parte inicial da decisão que recebe o cumprimento de sentença - haverá nova intimação para manifestação a respeito de eventual impugnação pelo ente público"
6c8487f1-b08c-4042-a758-f69e57d94c73,66a31c5f-d85e-4e60-8371-7e34e3b1fbc6,5016186-60.2025.8.21.0039,Juízo da 3ª Vara Criminal da Comarca de Viamão,RENUNCIAR PRAZO,OCULTAR,Não,1.26,0.000447,2716,66,gpt-4o-mini,0.0,27/08/2025 12:59,"analisar - conferir RPV e, depois de conferida, está certa, só renunciar)

FATO RELEVANTE: triou certa a anterior que era idêntica: 5016185-75.8.21.0039"
3f805b40-600f-43e2-be2b-a1b13ea6844a,856d3b2b-4d9a-4051-9484-810d07e7330e,5010746-89.2025.8.21.0037,Juízo da 3ª Vara Cível da Comarca de Uruguaiana,RENUNCIAR PRAZO,ANALISAR PROCESSO,Não,1.32,0.000465,2790,77,gpt-4o-mini,0.0,27/08/2025 12:59,"despacho que recebe a petição de fase de cumprimento de sentença (intimação é referente a primeira parte do despacho, demais prosseguimentos dependem da conduta da parte devedora)"
9a2017a0-63f6-4a2d-93b1-0d40bb9b7b90,18951ca4-4453-4854-8c1f-5451e1bd2c8e,5008155-81.2024.8.21.0008,Juízo da 1ª Vara de Família e Sucessões da Comarca de Canoas,ELABORAR PEÇA,CONTATAR ASSISTIDO,Não,1.11,0.00035,2055,70,gpt-4o-mini,0.0,27/08/2025 12:59,"avaliar pra quem devem ir os valores e peticionar informando. No caso, para o FADEP."
c2db531d-4e43-407c-8f01-1e0b980d621f,391de91e-1ba7-4d8a-8fde-c8ea6476b60b,5007204-50.2025.8.21.0009,Juízo da 2ª Vara Cível da Comarca de Carazinho,RENUNCIAR PRAZO,ELABORAR PEÇA,Não,1.39,0.00043,2603,66,gpt-4o-mini,0.0,27/08/2025 12:59,decisão que recebe a fase de cumprimento de sentença por nós proposta (errado pois não identificou que a parte que representamos é a autora - polo ativo)
75b3f61e-7074-4873-9e7b-aa3f24bd79fb,ee913ffd-a425-486a-a271-911d8aef4f87,5006185-03.2025.8.21.0011,Juízo da 2ª Vara Cível da Comarca de Cruz Alta,RENUNCIAR PRAZO,ELABORAR PEÇA,Não,1.64,0.000415,2477,72,gpt-4o-mini,0.0,27/08/2025 12:59,"intimação da primeira parte da decisão, que recebe o cumprimento e determina a intimação da parte adversa para pagamento"
53694062-22f8-41fc-bdb9-a1ec9712b635,528a6db1-a928-443f-aa18-b6e0f1150d17,5006074-83.2025.8.21.0022,2º Juízo da 1ª Vara Cível da Comarca de Pelotas,ELABORAR PEÇA,OCULTAR,Não,1.66,0.000293,1676,69,gpt-4o-mini,0.0,27/08/2025 12:59,conferir o alvará se quita o débito e informar ao juízo o interesse no prosseguimento ou outras providências como quitação e extinção.
5cd665d0-e757-478e-b79b-db6e4ed91467,a3ceb1bf-37f9-4745-ae04-816359d01fae,5003885-12.2025.8.21.0159,Juízo da 2ª Vara Judicial da Comarca de Teutônia,ELABORAR PEÇA,ANALISAR PROCESSO,Não,1.08,0.000347,2028,71,gpt-4o-mini,0.0,27/08/2025 12:59,elaborar peça corrigindo equívoco
fe1bef80-c1cf-4a9d-919a-5d0d3d5b0a83,bf0610d8-e158-4bcb-a6d6-9fc0fba33fb8,5001374-79.2024.8.21.0093,Juízo do Juizado Especial Cível Adjunto da Comarca de Coronel Bicaco,RENUNCIAR PRAZO,CONTATAR ASSISTIDO,Não,1.07,0.000359,2102,73,gpt-4o-mini,0.0,27/08/2025 12:59,"a intimação é da primeira parte da decisão, que determina a expedição de RPV como pedimos"
